Cadence Cyclery
Profit and Loss Detail
"January 1 - December 31, 2025"

,Date,Transaction Type,Num,Name,Memo/Description,Split,Amount
,03/31/2025,Expense,,First Cascade Bank,Account fees,Checking,31.10
,04/30/2025,Expense,,First Cascade Bank,Account fees,Checking,33.40
,05/31/2025,Expense,,First Cascade Bank,Account fees,Checking,40.67
,06/30/2025,Expense,,First Cascade Bank,Account fees,Checking,29.22
,07/31/2025,Expense,,First Cascade Bank,Account fees,Checking,32.70
,08/31/2025,Expense,,First Cascade Bank,Account fees,Checking,37.68
,09/30/2025,Expense,,First Cascade Bank,Account fees,Checking,28.81
,10/31/2025,Expense,,First Cascade Bank,Account fees,Checking,40.51
,11/30/2025,Expense,,First Cascade Bank,Account fees,Checking,37.58
,12/31/2025,Expense,,First Cascade Bank,Account fees,Checking,36.25
Total for Bank Charges,,,,,,,413.70
Total for Expenses,,,,,,,"233,051.19"
Net Income,,,,,,,"15,914.28"
